rainfall,soil_moisture,slope_angle,vibration,pore_water_pressure,temperature,risk_score,risk_level
0.04,21.0,22.09,0.265,2.01,32.9,4.9,Safe
4.98,32.51,21.17,0.386,15.54,24.9,13.3,Safe
2.97,23.37,30.01,0.151,0.47,28.2,7.5,Safe
0.72,30.87,39.68,0.017,0.43,25.3,14.8,Safe
15.84,35.32,24.29,0.338,5.56,32.5,10.0,Safe
3.77,49.62,15.66,0.236,1.5,26.3,2.7,Safe
1.38,32.1,32.86,0.208,5.05,26.5,16.4,Safe
3.47,45.73,46.57,0.01,0.89,25.4,26.2,Safe
5.69,49.29,27.91,0.241,2.47,26.8,14.1,Safe
0.4,49.34,28.86,0.022,1.23,30.8,13.7,Safe
1.61,37.85,46.97,0.038,2.4,29.4,20.1,Safe
8.22,15.37,37.92,0.129,5.86,26.1,11.9,Safe
3.08,39.61,38.73,0.046,5.74,32.8,16.1,Safe
3.95,45.48,33.57,0.162,2.9,29.5,15.8,Safe
2.84,34.19,47.16,0.141,10.55,24.2,23.4,Safe
0.22,52.45,37.73,0.017,1.22,20.5,19.3,Safe
0.91,43.6,44.54,0.16,1.1,24.3,21.6,Safe
2.95,40.68,38.08,0.386,3.81,27.7,14.8,Safe
1.17,45.86,39.26,0.026,3.88,28.4,21.6,Safe
0.26,38.33,24.58,0.136,0.19,31.4,6.1,Safe
9.28,10.07,25.01,0.063,3.74,21.6,8.7,Safe
19.87,30.01,40.84,0.092,1.88,24.2,17.0,Safe
7.88,46.97,24.79,0.051,5.5,21.3,7.5,Safe
9.61,26.92,33.57,0.066,6.6,20.6,11.1,Safe
1.39,32.77,23.23,0.01,3.21,23.5,2.6,Safe
16.17,24.55,41.96,0.599,0.01,27.5,15.6,Safe
1.1,52.84,18.65,0.147,4.05,29.1,6.6,Safe
15.12,51.81,42.37,0.104,5.53,22.2,22.7,Safe
26.31,26.16,34.89,0.073,1.15,22.8,16.0,Safe
6.22,36.47,21.17,0.116,2.5,18.9,6.1,Safe
19.85,28.2,32.89,0.072,13.49,26.9,18.0,Safe
4.21,41.15,24.32,0.067,1.42,23.1,5.3,Safe
1.5,40.1,25.67,0.094,1.01,32.7,11.0,Safe
2.87,43.12,26.6,0.048,0.95,27.6,7.0,Safe
4.5,38.32,17.09,0.03,3.27,25.3,0.0,Safe
0.38,64.35,47.54,0.122,11.97,23.4,32.1,Safe
4.87,24.72,16.04,0.278,3.75,20.0,0.2,Safe
19.86,17.89,36.86,0.025,1.45,20.5,18.1,Safe
1.05,31.07,27.25,0.01,4.07,23.5,9.2,Safe
7.87,19.32,36.32,0.043,3.92,23.2,12.8,Safe
11.92,20.08,26.76,0.585,3.63,22.0,9.9,Safe
14.39,24.99,37.23,0.265,0.69,27.5,14.0,Safe
16.11,25.78,39.06,0.136,4.03,28.1,21.5,Safe
3.69,25.45,37.79,0.397,2.25,24.2,13.5,Safe
18.93,40.18,18.76,0.088,0.08,33.7,6.4,Safe
7.08,29.94,36.68,0.614,3.1,19.0,14.3,Safe
0.88,33.2,24.24,0.053,18.14,26.2,9.1,Safe
3.24,43.94,15.95,0.041,1.72,25.1,0.0,Safe
6.34,27.34,28.69,0.152,13.47,23.8,12.0,Safe
1.42,32.35,29.31,0.071,0.4,23.2,9.6,Safe
5.12,38.66,30.42,0.148,5.27,26.0,13.9,Safe
5.49,15.58,38.26,0.055,0.49,25.1,14.2,Safe
0.89,11.15,25.19,0.144,1.28,24.4,6.0,Safe
4.16,38.46,25.4,0.048,3.38,20.8,13.6,Safe
7.38,39.92,17.0,0.01,3.59,19.5,3.5,Safe
3.45,55.64,37.67,0.365,5.97,24.8,21.2,Safe
0.06,36.58,33.74,0.322,3.82,24.4,13.8,Safe
0.05,43.2,26.53,0.53,3.6,25.2,11.4,Safe
2.21,33.05,38.27,0.189,9.74,25.6,16.9,Safe
13.03,37.97,32.73,0.172,2.41,23.9,13.5,Safe
1.3,51.67,30.49,0.123,1.02,25.2,14.9,Safe
5.03,13.76,31.87,0.02,0.71,22.6,9.3,Safe
1.26,39.14,36.0,0.031,2.04,32.1,17.4,Safe
1.94,56.36,36.78,0.051,4.99,22.8,14.3,Safe
9.42,37.82,24.54,0.331,0.17,24.5,12.5,Safe
6.53,51.51,19.64,0.028,0.55,23.1,8.1,Safe
0.5,28.71,20.17,0.384,0.45,23.0,4.5,Safe
2.8,34.68,36.1,0.111,3.52,26.1,14.6,Safe
0.15,35.34,43.8,0.189,1.11,25.6,20.6,Safe
3.28,12.82,28.51,0.018,0.73,24.2,4.9,Safe
5.43,23.32,20.59,0.047,3.59,24.9,4.3,Safe
0.63,24.03,39.97,0.477,5.73,23.1,16.9,Safe
1.7,43.22,42.47,0.046,1.61,27.6,14.7,Safe
2.54,43.72,44.06,0.053,3.45,34.2,22.5,Safe
12.6,38.24,35.03,0.033,0.41,22.5,11.7,Safe
24.99,43.24,43.4,0.021,10.95,27.6,29.7,Safe
0.23,33.36,15.51,0.04,1.64,26.2,4.9,Safe
7.16,47.02,18.54,0.154,23.97,28.7,11.7,Safe
2.32,35.09,18.06,0.091,15.38,28.8,4.2,Safe
2.49,35.58,38.52,0.121,6.04,26.8,16.3,Safe
7.02,32.34,17.3,0.02,0.08,25.8,0.0,Safe
12.53,41.84,31.38,0.243,3.14,24.3,16.0,Safe
15.07,30.79,30.6,0.23,0.36,22.9,8.2,Safe
4.3,44.76,25.25,0.01,9.02,25.6,6.2,Safe
2.21,23.68,43.72,0.073,6.24,20.9,17.2,Safe
7.75,24.01,20.62,0.011,14.35,23.6,2.9,Safe
1.45,41.87,26.63,0.236,3.75,30.4,7.6,Safe
4.15,34.11,40.55,0.2,2.95,26.4,18.0,Safe
2.22,30.46,16.0,0.348,2.93,29.6,5.0,Safe
5.34,43.9,37.21,0.04,1.95,31.9,18.3,Safe
1.37,28.93,41.94,0.091,2.53,25.3,17.3,Safe
1.06,33.0,45.76,0.031,4.04,26.8,23.2,Safe
12.52,48.99,43.92,0.07,10.81,24.8,27.0,Safe
0.54,50.39,25.54,0.111,3.62,22.7,8.5,Safe
3.53,50.72,34.35,0.01,7.78,22.2,15.1,Safe
1.25,32.18,17.55,0.188,7.94,29.4,5.2,Safe
0.2,47.31,23.51,0.118,2.93,26.8,5.3,Safe
0.18,25.51,18.11,0.265,1.71,33.4,3.9,Safe
0.96,25.93,25.4,0.048,4.08,29.9,5.8,Safe
10.08,11.5,43.88,0.35,2.36,23.1,16.2,Safe
1.66,51.73,26.46,0.996,0.34,29.4,10.7,Safe
15.02,26.36,33.54,0.378,1.9,24.8,16.3,Safe
4.36,33.73,29.3,0.226,20.51,30.9,11.9,Safe
2.87,25.9,30.14,0.251,0.2,24.1,8.9,Safe
4.34,41.95,47.0,0.128,4.77,21.8,23.2,Safe
3.64,31.24,24.77,0.032,7.36,22.8,10.4,Safe
7.11,21.95,35.7,0.17,4.18,23.0,17.2,Safe
1.66,39.42,28.86,0.187,3.37,22.6,13.2,Safe
2.18,20.66,17.02,0.634,4.92,23.7,2.6,Safe
11.23,26.63,31.15,0.117,2.24,29.4,12.1,Safe
14.64,13.93,41.84,0.047,0.38,33.2,14.1,Safe
11.15,20.76,18.26,0.173,13.12,20.7,5.0,Safe
2.72,36.79,17.3,0.582,2.26,31.1,0.3,Safe
7.58,15.35,20.07,0.029,4.38,24.1,4.4,Safe
3.23,20.19,40.23,0.059,3.03,27.4,14.3,Safe
3.44,34.98,38.89,0.117,0.22,19.4,17.0,Safe
1.15,29.56,33.65,0.028,12.21,28.1,13.8,Safe
4.47,54.92,30.45,0.01,6.29,18.0,16.5,Safe
1.03,53.34,44.31,0.062,0.65,27.3,21.0,Safe
2.01,26.32,40.3,0.301,15.99,27.0,21.6,Safe
9.66,40.57,41.79,0.01,5.34,26.8,22.2,Safe
1.16,42.49,41.84,0.084,2.56,23.1,22.2,Safe
0.37,29.03,36.21,0.215,3.78,28.2,16.9,Safe
0.36,20.04,30.11,0.459,0.45,27.6,6.8,Safe
14.13,34.88,43.53,0.635,3.29,25.2,24.4,Safe
3.54,33.27,45.56,0.082,0.31,28.7,16.8,Safe
2.63,30.64,15.79,0.451,3.15,25.6,5.9,Safe
8.33,39.42,16.7,0.01,3.22,28.1,1.2,Safe
9.03,27.49,46.64,0.206,8.3,25.5,22.0,Safe
2.02,23.48,24.15,0.154,5.16,26.9,7.0,Safe
5.91,36.09,43.82,0.043,1.15,28.3,21.6,Safe
7.37,38.86,27.83,0.106,8.77,24.4,12.4,Safe
5.32,23.23,18.93,0.021,3.41,21.1,5.0,Safe
0.82,44.28,17.65,0.308,3.73,27.1,4.8,Safe
10.43,17.3,20.16,0.066,0.74,30.8,4.3,Safe
3.87,29.22,23.25,0.148,7.8,27.2,2.6,Safe
1.66,32.42,31.12,0.026,10.69,27.3,14.9,Safe
2.77,28.64,38.15,0.035,5.97,25.8,14.7,Safe
0.19,29.35,47.55,0.723,11.3,29.0,23.8,Safe
0.68,53.71,29.57,0.21,1.44,25.3,17.8,Safe
7.25,26.49,32.1,0.49,7.9,24.2,6.8,Safe
0.0,59.41,32.22,0.053,2.68,30.4,15.6,Safe
2.69,39.37,32.8,0.027,0.72,23.9,7.0,Safe
3.7,35.92,32.09,0.105,4.42,29.6,13.6,Safe
0.28,39.76,15.29,0.102,4.61,30.4,0.7,Safe
18.07,60.3,15.06,0.029,1.35,28.3,0.0,Safe
1.28,25.06,18.22,0.198,0.11,21.0,5.4,Safe
1.81,23.8,18.35,0.067,0.89,26.1,0.0,Safe
1.81,27.45,38.26,0.031,2.04,25.2,16.5,Safe
1.31,35.32,21.76,0.061,0.73,24.0,2.9,Safe
0.01,17.74,44.53,0.124,0.86,26.6,14.6,Safe
6.53,35.22,45.64,0.194,1.99,29.1,15.8,Safe
17.03,51.94,47.2,0.099,13.06,24.2,32.9,Safe
1.27,36.51,45.99,0.112,5.78,25.3,20.6,Safe
5.44,32.07,23.97,0.022,1.54,25.0,5.7,Safe
6.77,28.82,31.82,0.369,12.11,30.7,14.0,Safe
9.43,43.99,20.79,0.396,4.15,25.0,3.6,Safe
2.75,26.74,41.6,0.173,2.43,21.1,18.4,Safe
1.8,53.46,44.32,0.01,2.53,19.7,22.0,Safe
1.97,54.33,43.09,0.116,2.12,27.5,28.7,Safe
6.23,37.57,29.3,0.149,1.06,23.0,9.8,Safe
8.49,34.88,40.04,0.785,1.96,28.7,18.9,Safe
1.0,45.31,18.22,0.831,3.0,20.7,3.3,Safe
2.32,45.95,16.33,0.292,3.0,23.8,0.0,Safe
11.61,26.94,39.86,0.01,5.74,20.7,19.6,Safe
8.22,29.73,29.04,0.46,1.78,27.7,13.6,Safe
20.95,21.78,47.85,0.142,5.05,28.6,22.0,Safe
7.02,39.09,18.21,0.242,3.45,27.4,5.2,Safe
2.5,41.67,43.24,0.078,13.06,21.7,26.6,Safe
4.47,21.5,30.84,0.058,1.95,23.0,10.1,Safe
5.41,30.45,42.3,0.093,9.26,26.9,21.2,Safe
0.41,21.53,41.97,0.024,6.87,19.2,16.4,Safe
3.93,26.01,45.23,0.066,4.06,25.0,17.4,Safe
6.18,40.51,24.83,0.292,4.25,32.1,10.4,Safe
0.92,27.67,46.34,0.01,0.35,25.3,22.9,Safe
7.59,31.99,20.01,0.025,12.0,20.0,4.5,Safe
4.38,18.73,17.7,0.02,0.45,23.6,4.0,Safe
15.21,36.87,29.24,0.077,3.31,23.5,12.4,Safe
0.22,34.56,42.33,0.871,1.6,34.6,18.5,Safe
1.54,27.71,30.62,0.029,2.25,32.7,12.0,Safe
4.6,33.11,42.37,0.024,3.77,28.9,20.6,Safe
1.76,36.8,39.08,0.37,9.58,24.6,20.8,Safe
6.27,26.85,21.91,0.321,2.45,30.8,10.3,Safe
7.11,20.24,46.31,0.01,17.6,21.5,27.6,Safe
0.54,53.06,17.01,0.209,3.59,30.3,4.9,Safe
3.61,28.67,44.64,0.16,0.7,29.7,18.2,Safe
3.56,34.03,25.05,0.219,0.84,25.4,4.2,Safe
2.3,45.11,31.5,0.102,5.04,30.6,17.5,Safe
13.51,70.29,28.94,0.713,0.21,24.2,17.4,Safe
8.79,22.56,20.67,0.01,2.62,20.9,2.6,Safe
5.97,39.5,26.82,0.04,0.64,29.9,6.9,Safe
6.26,27.92,21.37,0.076,2.27,25.7,2.7,Safe
3.1,29.61,21.73,0.09,5.54,28.4,10.0,Safe
12.69,27.8,21.17,0.381,2.46,33.3,8.6,Safe
5.93,23.74,31.14,0.123,0.71,23.1,6.3,Safe
6.53,34.59,41.33,0.01,1.16,25.4,14.2,Safe
9.89,20.25,33.78,0.079,1.83,32.3,11.8,Safe
1.6,44.47,44.48,0.081,0.29,28.7,18.6,Safe
8.23,35.55,36.01,0.505,3.51,23.2,16.2,Safe
1.09,39.22,37.75,0.137,3.74,22.2,20.5,Safe
2.12,30.34,37.03,0.151,0.26,23.9,16.6,Safe
2.04,31.33,29.83,0.187,2.06,23.0,6.0,Safe
19.2,37.88,37.75,0.22,2.14,26.9,16.3,Safe
9.71,23.36,17.3,0.151,1.62,26.3,3.3,Safe
6.04,31.42,43.38,0.041,3.26,27.1,21.9,Safe
6.49,26.4,40.67,0.311,1.7,22.6,14.7,Safe
4.13,26.09,23.09,0.198,2.15,25.7,6.9,Safe
14.7,13.9,40.35,0.203,6.39,17.8,16.4,Safe
3.43,48.39,15.42,0.851,0.71,26.6,9.6,Safe
2.39,28.13,22.17,0.243,3.86,30.7,7.5,Safe
0.89,46.63,17.15,0.265,2.82,20.3,3.9,Safe
7.71,45.69,40.75,0.454,1.46,27.9,17.5,Safe
6.63,22.14,39.94,0.025,5.2,23.6,13.0,Safe
2.43,24.12,41.85,0.103,3.2,29.2,9.9,Safe
0.13,60.61,15.15,0.13,2.6,26.6,4.5,Safe
9.13,52.51,31.54,0.06,4.41,27.6,16.9,Safe
0.06,34.68,38.26,0.274,6.48,26.3,18.8,Safe
6.08,37.57,20.13,0.216,14.4,31.3,5.6,Safe
17.58,28.69,36.44,0.191,3.97,27.4,19.6,Safe
2.88,39.32,17.78,0.879,8.3,23.2,10.8,Safe
1.34,27.83,20.98,0.045,0.0,26.4,2.4,Safe
6.1,14.68,30.7,0.199,3.02,24.5,12.8,Safe
8.49,21.78,36.57,0.12,0.97,26.6,13.5,Safe
3.95,35.21,19.81,0.056,0.4,24.3,3.0,Safe
17.06,23.69,21.11,0.026,3.04,23.3,8.3,Safe
0.27,34.33,21.75,0.339,5.49,26.8,3.6,Safe
3.51,24.25,22.88,0.136,2.13,26.2,1.7,Safe
6.34,27.18,22.48,0.261,4.44,30.3,5.4,Safe
9.93,43.53,28.04,0.118,2.69,24.3,10.9,Safe
0.99,37.47,36.58,0.037,2.3,18.1,10.8,Safe
8.05,34.9,29.46,0.062,1.37,24.5,11.9,Safe
4.02,43.79,40.61,0.072,1.93,19.5,17.2,Safe
2.53,39.81,38.74,0.541,1.72,27.7,15.0,Safe
0.71,49.47,19.18,0.01,4.16,19.3,6.9,Safe
10.02,30.4,16.61,0.637,0.49,22.0,3.1,Safe
0.86,30.7,43.97,0.59,0.39,24.6,21.8,Safe
1.85,21.99,17.63,0.834,4.32,32.2,5.6,Safe
1.71,30.71,19.9,0.097,3.16,21.7,3.8,Safe
10.26,44.65,15.73,0.498,2.25,26.0,7.4,Safe
5.58,48.0,35.74,0.076,0.66,28.3,17.5,Safe
7.96,44.6,34.22,0.01,2.12,31.9,15.2,Safe
1.44,17.06,47.57,0.038,6.24,29.1,20.4,Safe
4.9,45.83,44.27,0.436,8.82,30.4,26.9,Safe
4.24,16.61,28.56,0.01,4.85,29.5,5.5,Safe
8.94,43.98,27.26,0.118,0.25,21.2,16.4,Safe
11.83,31.32,24.8,0.012,4.44,27.4,8.2,Safe
0.06,42.03,20.03,0.051,1.1,29.4,5.1,Safe
5.6,21.68,19.56,0.014,1.51,22.2,0.0,Safe
0.27,46.71,19.37,0.294,0.87,23.7,5.9,Safe
3.98,20.35,18.77,0.134,5.98,22.8,3.8,Safe
1.7,28.32,22.94,0.349,4.18,29.1,3.8,Safe
1.83,25.02,25.12,0.175,3.79,25.7,4.4,Safe
2.18,17.46,46.73,0.531,4.41,24.7,17.3,Safe
4.85,35.95,34.09,0.107,1.08,20.9,12.7,Safe
2.03,53.06,47.59,0.153,2.35,25.7,26.8,Safe
6.6,61.67,27.29,0.129,4.01,23.7,12.6,Safe
2.59,35.97,30.1,0.099,4.05,27.0,12.0,Safe
0.35,46.17,25.71,0.281,6.28,21.4,12.1,Safe
7.66,37.32,21.04,0.155,1.35,26.7,7.3,Safe
1.68,39.99,19.72,0.242,5.88,24.2,6.7,Safe
2.83,31.58,46.19,0.232,2.32,21.0,21.3,Safe
5.78,36.95,47.56,0.032,4.44,20.7,24.1,Safe
2.02,40.37,16.48,0.158,2.43,21.3,2.9,Safe
0.29,29.22,19.96,0.033,11.87,25.2,3.3,Safe
2.34,34.23,28.98,0.131,0.79,26.5,9.6,Safe
14.45,34.42,21.15,0.17,4.5,27.1,8.4,Safe
5.13,43.26,27.01,0.884,3.44,27.2,14.3,Safe
5.57,24.34,19.26,0.01,0.76,23.0,4.3,Safe
5.0,34.48,30.06,0.014,0.27,30.2,9.2,Safe
1.11,54.12,23.97,0.012,6.42,24.2,8.8,Safe
2.71,46.64,26.61,0.076,0.69,27.8,9.2,Safe
6.95,48.49,18.11,0.259,0.83,25.3,3.8,Safe
0.53,35.24,29.13,0.279,15.35,27.5,15.2,Safe
1.63,38.21,47.45,0.2,5.05,25.1,19.0,Safe
1.62,45.02,25.85,0.341,1.15,27.6,14.9,Safe
2.83,50.6,43.92,0.058,3.58,26.0,28.4,Safe
19.65,15.48,42.83,0.014,3.06,29.3,18.6,Safe
0.35,21.85,46.42,0.01,7.44,22.7,20.0,Safe
3.66,48.09,41.07,0.287,5.23,18.9,24.0,Safe
0.99,32.23,36.77,0.197,7.13,22.1,13.8,Safe
17.65,28.28,43.27,0.18,0.95,30.3,21.5,Safe
0.6,22.46,17.5,0.062,4.09,25.4,5.5,Safe
2.58,29.45,30.27,0.072,0.16,26.4,5.2,Safe
6.69,20.98,47.65,0.476,0.29,21.8,16.1,Safe
6.1,55.91,40.4,0.01,5.0,26.3,24.2,Safe
2.75,34.78,46.75,0.223,0.1,21.9,20.3,Safe
2.13,34.42,40.73,0.056,3.47,22.5,16.5,Safe
2.53,40.88,43.87,0.01,7.34,24.4,21.1,Safe
1.53,44.62,38.32,0.204,1.91,27.8,14.9,Safe
1.15,44.46,40.1,0.06,0.18,28.2,17.0,Safe
3.3,45.74,32.26,0.192,5.0,28.3,11.3,Safe
1.56,28.69,45.5,0.184,10.62,19.6,25.0,Safe
1.69,32.02,42.23,0.115,5.05,26.0,18.8,Safe
5.35,42.69,42.85,0.225,3.46,25.2,21.9,Safe
17.29,29.73,37.21,0.13,1.05,19.9,17.8,Safe
4.63,34.95,25.05,0.051,0.06,26.1,14.4,Safe
0.4,38.99,16.18,0.199,4.75,25.0,0.6,Safe
0.39,42.85,45.88,0.133,1.05,28.0,17.3,Safe
15.12,17.22,34.34,0.01,7.81,26.3,13.5,Safe
1.76,42.15,24.84,0.348,2.51,23.8,4.5,Safe
0.48,32.66,19.92,0.118,3.03,29.7,3.6,Safe
4.57,42.07,42.37,0.304,5.61,17.1,24.1,Safe
4.89,42.77,42.61,0.322,6.05,25.7,26.2,Safe
5.23,51.08,41.88,0.088,4.12,18.9,18.5,Safe
1.56,48.53,36.29,0.106,11.15,22.4,16.6,Safe
0.08,48.47,27.08,0.081,16.14,28.1,13.5,Safe
16.76,49.44,25.03,0.09,11.74,20.9,13.9,Safe
1.44,37.91,15.28,0.338,6.95,20.3,5.4,Safe
5.64,35.32,42.51,0.233,4.89,35.5,24.0,Safe
6.13,43.73,17.89,0.02,4.35,20.6,6.2,Safe
4.71,42.32,35.81,0.141,0.44,32.6,15.3,Safe
1.88,31.91,31.63,0.825,1.27,25.3,15.7,Safe
1.58,39.05,32.38,0.136,0.02,23.9,12.5,Safe
4.55,34.65,45.58,0.231,0.59,28.3,21.4,Safe
10.05,26.46,16.04,0.22,2.31,31.3,1.3,Safe
14.66,47.9,40.52,0.065,0.63,21.4,21.6,Safe
0.56,35.55,16.72,0.07,9.28,24.0,0.0,Safe
0.84,55.49,16.26,0.193,6.55,29.4,7.4,Safe
14.48,18.75,29.18,0.104,0.3,27.2,6.6,Safe
6.67,29.43,17.08,0.127,1.14,30.4,0.5,Safe
10.73,35.33,41.04,0.187,6.84,28.1,14.7,Safe
1.13,46.37,32.48,0.225,6.5,33.2,13.0,Safe
4.43,38.99,15.96,0.048,11.63,26.7,1.2,Safe
6.04,38.1,16.34,0.024,24.04,26.9,5.7,Safe
5.7,23.73,35.22,0.052,14.96,27.3,12.0,Safe
2.62,23.43,41.6,0.106,2.11,25.4,14.6,Safe
0.08,38.23,29.45,0.063,1.15,29.4,8.5,Safe
4.37,21.36,33.3,0.126,5.68,26.9,7.3,Safe
1.46,29.68,41.39,0.01,1.42,29.2,16.7,Safe
2.99,40.01,35.15,0.107,6.57,29.8,15.2,Safe
15.8,25.18,22.42,0.069,3.05,27.7,6.3,Safe
2.55,51.05,35.23,0.115,6.32,28.0,19.7,Safe
9.16,47.24,35.73,0.082,1.29,22.0,17.0,Safe
1.04,19.29,39.23,0.05,2.84,23.8,12.6,Safe
5.58,25.68,35.49,0.352,3.32,29.4,16.3,Safe
18.86,12.14,46.98,0.031,11.47,31.7,22.9,Safe
0.54,27.17,21.51,0.172,1.24,18.2,3.5,Safe
0.04,42.66,46.39,0.388,11.04,23.7,27.7,Safe
2.84,30.86,32.77,0.116,6.54,26.1,10.8,Safe
0.49,39.61,37.17,0.314,5.25,22.5,20.0,Safe
6.9,19.78,18.28,0.02,6.18,22.7,3.3,Safe
12.3,42.98,27.56,0.102,3.72,27.9,15.4,Safe
2.85,29.45,40.39,0.092,1.12,32.3,15.7,Safe
1.5,35.12,38.33,0.01,0.84,17.9,17.6,Safe
2.85,34.07,16.32,0.088,8.05,25.3,0.0,Safe
6.43,22.28,33.04,0.069,5.17,27.9,14.9,Safe
0.05,23.47,17.91,0.166,0.96,29.1,4.1,Safe
4.45,44.68,47.86,0.418,3.82,27.3,24.6,Safe
4.75,38.99,44.61,0.013,2.37,33.0,23.1,Safe
5.08,45.5,15.7,0.06,0.69,26.1,0.0,Safe
1.39,38.25,43.34,0.088,3.04,31.2,18.6,Safe
6.26,36.43,45.34,0.091,1.32,23.4,18.9,Safe
0.48,17.74,26.67,0.224,0.4,26.2,9.0,Safe
1.11,32.3,38.74,0.088,2.52,21.1,18.6,Safe
10.5,34.73,29.59,0.01,3.57,29.6,10.1,Safe
6.71,54.53,36.62,0.186,0.19,25.5,15.4,Safe
0.07,41.87,26.23,0.324,2.06,27.4,7.2,Safe
1.43,50.36,25.64,0.108,1.19,24.7,9.8,Safe
1.21,40.98,29.01,0.131,0.12,28.3,10.5,Safe
1.58,27.89,19.8,0.027,0.54,27.6,2.6,Safe
1.42,36.17,42.43,0.037,0.6,22.0,15.9,Safe
0.32,37.36,26.51,0.04,0.81,22.3,12.3,Safe
3.07,25.61,28.2,0.085,6.51,25.9,7.6,Safe
6.6,31.16,44.5,0.395,2.32,28.6,18.5,Safe
4.67,32.94,31.39,0.111,0.64,33.5,14.1,Safe
5.59,51.06,32.96,0.032,0.42,27.2,14.1,Safe
0.42,14.19,46.56,0.046,1.41,30.0,18.2,Safe
15.13,47.06,44.26,0.073,6.4,19.5,23.5,Safe
9.12,25.63,20.59,0.146,1.81,34.1,6.0,Safe
8.18,21.28,30.62,0.087,0.7,28.4,11.3,Safe
8.66,46.8,47.05,0.075,2.07,25.8,22.5,Safe
13.49,42.32,27.29,0.125,3.24,25.3,9.9,Safe
3.93,47.55,27.26,0.042,0.12,21.6,7.9,Safe
1.12,43.01,21.44,0.012,3.95,22.7,4.8,Safe
4.8,55.6,18.77,0.01,2.01,33.6,9.6,Safe
6.79,40.59,39.43,0.043,0.04,22.0,18.2,Safe
6.7,33.44,40.41,0.014,4.48,22.0,22.8,Safe
3.68,38.43,46.98,0.061,4.98,23.2,26.9,Safe
0.35,47.43,40.52,0.222,3.96,21.2,23.1,Safe
2.32,27.21,23.03,0.189,1.67,26.1,9.5,Safe
12.68,28.48,16.32,0.142,3.02,30.4,5.8,Safe
4.39,31.91,47.52,0.287,1.96,23.6,26.1,Safe
3.86,13.95,26.23,0.05,4.82,20.5,8.4,Safe
1.57,36.38,25.3,0.324,3.5,27.2,10.5,Safe
2.3,16.14,44.9,0.076,0.34,25.8,17.7,Safe
11.29,35.53,34.31,0.077,4.12,30.0,13.8,Safe
5.49,43.65,22.09,0.078,4.65,24.2,9.4,Safe
7.74,30.23,44.34,0.015,1.85,25.0,22.4,Safe
3.03,51.77,47.78,0.556,8.34,25.4,28.1,Safe
4.97,20.39,17.86,0.022,7.41,26.4,0.6,Safe
1.43,46.91,43.45,0.063,0.77,24.4,19.6,Safe
6.11,41.75,27.89,0.058,9.38,23.8,15.1,Safe
2.79,17.84,32.29,0.012,2.33,18.6,9.1,Safe
2.92,62.11,45.19,0.025,5.15,23.7,24.3,Safe
5.24,34.36,47.12,0.01,6.73,28.9,20.5,Safe
13.77,26.23,23.65,0.052,2.81,29.4,4.6,Safe
0.33,20.93,22.02,0.302,2.04,24.1,3.0,Safe
8.71,32.8,17.66,0.062,9.88,31.2,0.8,Safe
1.73,33.73,33.54,0.02,1.05,25.9,13.7,Safe
2.93,36.03,15.45,0.156,1.19,20.6,1.7,Safe
0.11,32.02,28.59,0.853,1.8,19.4,12.6,Safe
1.79,41.33,17.42,0.04,7.85,30.9,0.0,Safe
3.49,31.12,28.37,0.049,11.17,24.5,13.4,Safe
0.29,15.65,16.32,0.536,0.99,21.1,2.0,Safe
3.38,33.51,42.56,0.03,7.98,17.0,21.1,Safe
13.09,11.33,21.92,0.107,1.19,24.4,8.8,Safe
0.56,38.54,25.83,0.041,14.11,27.6,11.0,Safe
7.23,25.21,43.71,0.404,3.64,23.2,24.6,Safe
2.64,36.63,39.63,0.599,0.03,21.8,13.2,Safe
5.32,48.14,22.23,0.253,0.14,23.8,6.9,Safe
1.51,25.51,17.37,0.057,0.64,31.0,0.0,Safe
0.87,45.61,38.62,0.077,0.83,20.4,18.2,Safe
0.87,30.67,27.89,0.042,5.84,23.4,9.4,Safe
0.37,52.53,40.28,0.332,1.01,30.8,17.9,Safe
1.03,31.35,29.69,0.369,13.91,28.0,18.3,Safe
5.46,26.6,26.42,0.081,4.04,26.7,7.1,Safe
10.67,41.87,29.89,0.16,4.72,23.4,7.6,Safe
8.41,30.64,39.7,0.027,0.98,26.1,18.0,Safe
5.78,26.59,44.77,0.086,8.93,23.8,22.5,Safe
0.59,30.22,16.64,0.15,4.41,22.6,1.4,Safe
1.71,34.55,32.3,0.073,7.99,21.7,15.0,Safe
1.85,48.42,16.08,0.066,12.54,29.1,2.1,Safe
1.44,15.66,30.46,0.01,0.54,25.8,7.2,Safe
3.62,35.23,44.21,0.245,0.41,27.3,20.8,Safe
3.83,41.25,26.93,0.33,6.51,26.6,13.4,Safe
2.21,36.93,45.77,0.523,8.04,27.8,23.6,Safe
2.18,48.1,35.81,0.191,3.51,25.0,15.9,Safe
8.82,34.26,45.83,0.119,1.82,24.1,21.5,Safe
7.79,33.15,39.99,0.047,4.23,22.7,12.7,Safe
1.84,40.92,18.41,1.09,1.46,20.3,6.3,Safe
12.25,35.99,22.63,0.134,1.09,21.5,2.1,Safe
15.27,31.1,28.01,0.171,2.68,24.5,8.5,Safe
1.98,40.16,20.61,0.172,0.97,19.6,2.0,Safe
2.19,28.47,31.33,0.28,2.64,20.5,12.5,Safe
3.52,28.89,30.56,0.01,12.55,30.2,10.2,Safe
14.16,29.72,46.56,0.037,7.32,26.9,26.6,Safe
